datetime,open,high,low,close,volume
2018-12-14 07:00:00,86.65,86.7,85.99,86.11,9615.86
2018-12-14 08:00:00,86.11,86.63,85.3,85.61,13535.81
2018-12-14 09:00:00,85.61,86.1,85.04,85.71,9697.5
2018-12-14 10:00:00,85.71,86.48,85.46,86.2,9188.57
2018-12-14 11:00:00,86.2,86.33,85.37,85.6,9258.45
2018-12-14 12:00:00,85.6,86.5,85.3,86.33,11930.28
2018-12-14 13:00:00,86.33,86.35,85.19,85.72,8884.17
2018-12-14 14:00:00,85.72,86.23,85.19,85.9,13583.92
2018-12-14 15:00:00,85.9,86.0,85.3,85.53,10230.14
2018-12-14 16:00:00,85.53,85.76,83.54,83.92,33587.61
2018-12-14 17:00:00,83.92,84.38,83.59,84.16,20982.19
2018-12-14 18:00:00,84.16,84.24,83.38,83.73,13845.2
2018-12-14 19:00:00,83.73,84.13,83.54,83.97,10524.2
2018-12-14 20:00:00,83.97,84.18,83.43,83.55,11233.53
2018-12-14 21:00:00,83.55,83.82,82.2,83.05,30826.31
2018-12-14 22:00:00,83.05,85.0,83.04,84.12,20183.81
2018-12-14 23:00:00,84.12,84.36,83.57,83.82,7395.11
2018-12-15 00:00:00,83.82,85.0,81.79,83.76,217360.66
2018-12-15 01:00:00,84.23,84.43,83.91,84.21,5393.93
2018-12-15 02:00:00,84.21,84.59,83.5,84.43,6812.97
2018-12-15 03:00:00,84.43,85.0,84.41,84.81,6437.99
2018-12-15 04:00:00,84.81,85.0,84.6,84.75,6173.65
2018-12-15 05:00:00,84.75,84.8,84.02,84.52,9764.66
2018-12-15 06:00:00,84.52,84.76,84.25,84.47,6921.84
2018-12-15 07:00:00,84.47,84.49,83.98,84.29,5131.62
2018-12-15 08:00:00,84.29,84.47,84.11,84.14,3730.82
2018-12-15 09:00:00,84.14,84.23,83.17,83.35,16106.35
2018-12-15 10:00:00,83.35,83.44,82.7,83.07,13218.27
2018-12-15 11:00:00,83.07,84.12,83.04,83.67,11403.21
2018-12-15 12:00:00,83.67,83.96,83.24,83.38,6555.49
2018-12-15 13:00:00,83.38,83.65,82.63,83.0,8581.33
2018-12-15 14:00:00,83.0,83.4,82.79,83.12,9392.89
2018-12-15 15:00:00,83.12,83.12,81.79,82.17,16440.58
2018-12-15 16:00:00,82.17,83.0,81.85,82.9,9986.74
2018-12-15 17:00:00,82.9,83.23,82.61,82.81,6578.87
2018-12-15 18:00:00,82.81,82.95,82.45,82.57,5406.59
2018-12-15 19:00:00,82.57,83.68,82.57,83.08,12003.82
2018-12-15 20:00:00,83.08,84.4,82.89,84.19,14905.58
2018-12-15 21:00:00,84.19,84.7,83.8,84.46,9929.99
2018-12-15 22:00:00,84.46,84.65,83.91,83.92,7568.49
2018-12-15 23:00:00,83.92,84.08,83.31,83.76,6062.48
